Time,Force,Stroke
0,-0.004847845,0
0.01,-0.004053116,0
0.02,-0.003814697,3.333333E-05
0.03,-0.003496806,3.333333E-05
0.04,-0.003258387,0.0001
0.05,-0.003814697,0.0002
0.06,-0.005245209,0.0005333333
0.07,-0.00611941,0.0008333334
0.08,-0.00500679,0.0011
0.09,-0.003655751,0.0013
0.1,-0.003417333,0.0015
0.11,-0.004053116,0.0017
0.12,-0.004609426,0.0019
0.13,-0.00500679,0.002066667
0.14,-0.0055631,0.002233333
0.15,-0.0055631,0.002433333
0.16,-0.00500679,0.002566667
0.17,-0.004371007,0.002733333
0.18,-0.00445048,0.0029
0.19,-0.005165736,0.0031
0.2,-0.005404154,0.003266667
0.21,-0.005404154,0.003433333
0.22,-0.005960464,0.0036
0.23,-0.006596247,0.003766667
0.24,-0.00611941,0.003933333
0.25,-0.004768372,0.0041
0.26,-0.003496806,0.004266667
0.27,-0.003655751,0.004433333
0.28,-0.004212061,0.0046
0.29,-0.004053116,0.004766667
0.3,-0.003496806,0.004933333
0.31,-0.003814697,0.0051
0.32,-0.004847845,0.005266667
0.33,-0.005404154,0.005433334
0.34,-0.005165736,0.0056
0.35,-0.004847845,0.005766667
0.36,-0.004768372,0.005933333
0.37,-0.004609426,0.0061
0.38,-0.004768372,0.006266667
0.39,-0.005404154,0.006433333
0.4,-0.006198883,0.006633333
0.41,-0.006596247,0.0068
0.42,-0.006357829,0.006933333
0.43,-0.005404154,0.0071
0.44,-0.005165736,0.007266667
0.45,-0.00500679,0.007433333
0.46,-0.004768372,0.007566667
0.47,-0.00445048,0.007766667
0.48,-0.004768372,0.007933334
0.49,-0.005404154,0.0081
0.5,-0.005960464,0.008266667
0.51,-0.006198883,0.0084
0.52,-0.00611941,0.0086
0.53,-0.005960464,0.008766667
0.54,-0.005801519,0.008933334
0.55,-0.005245209,0.0091
0.56,-0.004609426,0.009266667
0.57,-0.00445048,0.009433334
0.58,-0.004847845,0.0096
0.59,-0.004609426,0.009733333
0.6,-0.003814697,0.0099
0.61,-0.003099442,0.01006667
0.62,-0.003496806,0.01026667
0.63,-0.004371007,0.01043333
0.64,-0.004053116,0.0106
0.65,-0.003019969,0.01076667
0.66,-0.002622604,0.01093333
0.67,-0.003019969,0.0111
0.68,-0.003099442,0.0113
0.69,-0.002622604,0.01143333
0.7,-0.001907349,0.0116
0.71,-0.002304713,0.01176667
0.72,-0.003099442,0.01193333
0.73,-0.003258387,0.0121
0.74,-0.003019969,0.0123
0.75,-0.003814697,0.01246667
0.76,-0.005165736,0.01263333
0.77,-0.005722046,0.01276667
0.78,-0.004847845,0.01293333
0.79,-0.003655751,0.0131
0.8,-0.003496806,0.01326667
0.81,-0.003814697,0.01346667
0.82,-0.004053116,0.01363333
0.83,-0.00445048,0.0138
0.84,-0.005245209,0.01396667
0.85,-0.006198883,0.0141
0.86,-0.005960464,0.01426667
0.87,-0.005165736,0.01446667
0.88,-0.004847845,0.01463333
0.89,-0.004847845,0.0148
0.9,-0.003814697,0.01496667
0.91,-0.002463659,0.01513333
0.92,-0.002463659,0.0153
0.93,-0.003417333,0.01546667
0.94,-0.003973643,0.01563333
0.95,-0.003814697,0.0158
0.96,-0.003655751,0.016
0.97,-0.003973643,0.01613333
0.98,-0.003814697,0.0163
0.99,-0.003258387,0.01646667
1,-0.003099442,0.01663333
1.01,-0.004053116,0.0168
1.02,-0.004768372,0.01696667
1.03,-0.004371007,0.01713333
1.04,-0.003496806,0.0173
1.05,-0.003655751,0.01746667
1.06,-0.004371007,0.0176
1.07,-0.00500679,0.01776667
1.08,-0.0055631,0.01796667
1.09,-0.005960464,0.01813333
1.1,-0.00500679,0.0183
1.11,-0.003655751,0.01843333
1.12,-0.003496806,0.01863333
1.13,-0.004768372,0.0188
1.14,-0.005722046,0.01896667
1.15,-0.004768372,0.0191
1.16,-0.003655751,0.01926667
1.17,-0.004212061,0.01943333
1.18,-0.005722046,0.0196
1.19,-0.005722046,0.01976667
1.2,-0.004847845,0.01993333
1.21,-0.00500679,0.02013333
1.22,-0.005801519,0.0203
1.23,-0.005960464,0.02046667
1.24,-0.00500679,0.02063333
1.25,-0.004371007,0.0208
1.26,-0.00445048,0.02093333
1.27,-0.00500679,0.0211
1.28,-0.00500679,0.02126667
1.29,-0.004768372,0.02143333
1.3,-0.004609426,0.0216
1.31,-0.00445048,0.02176667
1.32,-0.003814697,0.02193333
1.33,-0.003258387,0.02213333
1.34,-0.003099442,0.0223
1.35,-0.003019969,0.02246667
1.36,-0.002622604,0.0226
1.37,-0.002702077,0.02276667
1.38,-0.003655751,0.02293333
1.39,-0.005165736,0.0231
1.4,-0.005404154,0.02326667
1.41,-0.004609426,0.02343333
1.42,-0.004371007,0.0236
1.43,-0.00500679,0.0238
1.44,-0.005245209,0.02393333
1.45,-0.00500679,0.0241
1.46,-0.00445048,0.02426667
1.47,-0.004212061,0.02443333
1.48,-0.004371007,0.02463333
1.49,-0.004371007,0.02476667
1.5,-0.003973643,0.02493333
1.51,-0.003973643,0.0251
1.52,-0.004768372,0.0253
1.53,-0.005245209,0.0255
1.54,-0.00445048,0.02566667
1.55,-0.003099442,0.02583333
1.56,-0.002304713,0.026
1.57,-0.002622604,0.02616667
1.58,-0.003496806,0.0263
1.59,-0.004371007,0.02646667
1.6,-0.004371007,0.02663333
1.61,-0.003973643,0.0268
1.62,-0.003417333,0.02696667
1.63,-0.003099442,0.02713333
1.64,-0.002861023,0.0273
1.65,-0.003019969,0.02746667
1.66,-0.003417333,0.02763333
1.67,-0.003099442,0.0278
1.68,-0.001907349,0.02796667
1.69,-0.001271566,0.02813333
1.7,-0.001907349,0.02833333
1.71,-0.003099442,0.02853333
1.72,-0.003814697,0.02866667
1.73,-0.004053116,0.02883333
1.74,-0.00445048,0.029
1.75,-0.00500679,0.02916667
1.76,-0.00500679,0.0293
1.77,-0.00445048,0.02946667
1.78,-0.004609426,0.02963333
1.79,-0.005165736,0.02983333
1.8,-0.004847845,0.02996667
1.81,-0.003814697,0.03013333
1.82,-0.003258387,0.03033333
1.83,-0.003655751,0.0305
1.84,-0.003496806,0.0307
1.85,-0.002861023,0.0309
1.86,-0.002304713,0.03103333
1.87,-0.00222524,0.03113333
1.88,-0.00166893,0.0313
1.89,-0.00111262,0.03146667
1.9,-0.001509984,0.03163333
1.91,-0.003099442,0.0318
1.92,-0.004768372,0.03196667
1.93,-0.004768372,0.03216667
1.94,-0.003655751,0.0323
1.95,-0.003099442,0.03246667
1.96,-0.003496806,0.03266667
1.97,-0.004053116,0.03283333
1.98,-0.004212061,0.03296667
1.99,-0.004371007,0.03313334
2,-0.004768372,0.0333
2.01,-0.004768372,0.03353333
2.02,-0.003655751,0.0337
2.03,-0.002463659,0.03386667
2.04,-0.00222524,0.034
2.05,-0.002463659,0.03413333
2.06,-0.002861023,0.03426667
2.07,-0.003814697,0.03446667
2.08,-0.004768372,0.03463333
2.09,-0.004768372,0.03476667
2.1,-0.003258387,0.03496667
2.11,-0.001907349,0.03513333
2.12,-0.001748403,0.0353
2.13,-0.002304713,0.0355
2.14,-0.00222524,0.03566667
2.15,-0.002304713,0.03583333
2.16,-0.003099442,0.036
2.17,-0.003814697,0.03613333
2.18,-0.004212061,0.0363
2.19,-0.004609426,0.0365
2.2,-0.00500679,0.03666667
2.21,-0.004609426,0.03683333
2.22,-0.003814697,0.03696667
2.23,-0.003496806,0.03713333
2.24,-0.003973643,0.0373
2.25,-0.004371007,0.0375
2.26,-0.003973643,0.03763333
2.27,-0.003258387,0.0378
2.28,-0.003496806,0.03796667
2.29,-0.00445048,0.03813333
2.3,-0.00445048,0.0383
2.31,-0.003019969,0.03843333
2.32,-0.001748403,0.0386
2.33,-0.002304713,0.0388
2.34,-0.003417333,0.039
2.35,-0.003099442,0.03916667
2.36,-0.002702077,0.03933333
2.37,-0.004212061,0.0395
2.38,-0.005801519,0.03963333
2.39,-0.005165736,0.0398
2.4,-0.002622604,0.04
2.41,-0.001509984,0.04013333
2.42,-0.002622604,0.0403
2.43,-0.004053116,0.04046667
2.44,-0.004371007,0.04066667
2.45,-0.004212061,0.04083334
2.46,-0.004609426,0.041
2.47,-0.004847845,0.04116667
2.48,-0.004371007,0.04133333
2.49,-0.003417333,0.0415
2.5,-0.003099442,0.04166667
2.51,-0.003655751,0.0418
2.52,-0.003655751,0.04196667
2.53,-0.002861023,0.04216667
2.54,-0.002622604,0.04233333
2.55,-0.003496806,0.0425
2.56,-0.00445048,0.04263333
2.57,-0.00445048,0.0428
2.58,-0.003814697,0.04296667
2.59,-0.003655751,0.04313333
2.6,-0.003417333,0.04333333
2.61,-0.002622604,0.0435
2.62,-0.00166893,0.04363333
2.63,-0.00166893,0.04383333
2.64,-0.002304713,0.044
2.65,-0.003019969,0.04416667
2.66,-0.003099442,0.0443
2.67,-0.003099442,0.04446667
2.68,-0.003496806,0.04463333
2.69,-0.003814697,0.0448
2.7,-0.003258387,0.04496667
2.71,-0.002066294,0.04513333
2.72,-0.001271566,0.0453
2.73,-0.001509984,0.0455
2.74,-0.002304713,0.04563333
2.75,-0.003258387,0.0458
2.76,-0.004053116,0.04596667
2.77,-0.00445048,0.04613334
2.78,-0.004212061,0.0463
2.79,-0.003258387,0.04646667
2.8,-0.002702077,0.04663333
2.81,-0.003258387,0.0468
2.82,-0.004053116,0.04696667
2.83,-0.004371007,0.04713333
2.84,-0.004053116,0.0473
2.85,-0.003814697,0.04746667
2.86,-0.004053116,0.04763333
2.87,-0.004371007,0.04776667
2.88,-0.004847845,0.04796667
2.89,-0.005404154,0.04813333
2.9,-0.0055631,0.04833334
2.91,-0.004768372,0.0485
2.92,-0.003099442,0.04863333
2.93,-0.00166893,0.0488
2.94,-0.001748403,0.04896667
2.95,-0.003417333,0.04913333
2.96,-0.004768372,0.0493
2.97,-0.005404154,0.04946667
2.98,-0.005245209,0.04963334
2.99,-0.004847845,0.0498
3,-0.004371007,0.04996667
3.01,-0.003814697,0.05013333
3.02,-0.003417333,0.0503
3.03,-0.003258387,0.0505
3.04,-0.003258387,0.05063333
3.05,-0.003417333,0.0508
3.06,-0.003099442,0.05096667
3.07,-0.003258387,0.05113333
3.08,-0.003814697,0.0513
3.09,-0.00445048,0.05146667
3.1,-0.004609426,0.05163334
3.11,-0.004371007,0.05183334
3.12,-0.003814697,0.05196667
3.13,-0.003973643,0.05213333
3.14,-0.004609426,0.0523
3.15,-0.004768372,0.05246667
3.16,-0.004053116,0.05263333
3.17,-0.003417333,0.0528
3.18,-0.003417333,0.05296667
3.19,-0.003417333,0.05313333
3.2,-0.003019969,0.0533
3.21,-0.002066294,0.05346667
3.22,-0.001351039,0.05363333
3.23,-0.001748403,0.05383334
3.24,-0.003019969,0.05396667
3.25,-0.003655751,0.05416667
3.26,-0.004371007,0.05433333
3.27,-0.005165736,0.0545
3.28,-0.005245209,0.05466667
3.29,-0.004212061,0.05483333
3.3,-0.003019969,0.055
3.31,-0.002702077,0.0552
3.32,-0.003019969,0.05533333
3.33,-0.002861023,0.0555
3.34,-0.00222524,0.05563333
3.35,-0.00222524,0.05576667
3.36,-0.003496806,0.05596667
3.37,-0.004847845,0.05613333
3.38,-0.004371007,0.0563
3.39,-0.003019969,0.0565
3.4,-0.003019969,0.05663333
3.41,-0.003814697,0.0568
3.42,-0.003655751,0.057
3.43,-0.002463659,0.05716667
3.44,-0.002304713,0.0573
3.45,-0.003814697,0.05746667
3.46,-0.004212061,0.05763333
3.47,-0.002702077,0.0578
3.48,-0.001509984,0.058
3.49,-0.002463659,0.05816667
3.5,-0.003655751,0.05833333
3.51,-0.003258387,0.0585
3.52,-0.002304713,0.05863333
3.53,-0.003099442,0.0588
3.54,-0.005165736,0.05896667
3.55,-0.005801519,0.05916667
3.56,-0.005165736,0.05933334
3.57,-0.004768372,0.05943333
3.58,-0.005165736,0.0596
3.59,-0.005165736,0.0598
3.6,-0.004212061,0.05996667
3.61,-0.003258387,0.06016667
3.62,-0.003417333,0.0603
3.63,-0.003655751,0.06043334
3.64,-0.003417333,0.06063334
3.65,-0.003099442,0.0608
3.66,-0.003496806,0.06096667
3.67,-0.004053116,0.06116667
3.68,-0.003417333,0.06133333
3.69,-0.00222524,0.0615
3.7,-0.00222524,0.06163333
3.71,-0.003655751,0.0618
3.72,-0.004847845,0.06196667
3.73,-0.00445048,0.06213333
3.74,-0.003496806,0.06233333
3.75,-0.003258387,0.0625
3.76,-0.003099442,0.06266667
3.77,-0.002861023,0.06283333
3.78,-0.002702077,0.06296667
3.79,-0.002861023,0.06313334
3.8,-0.003417333,0.0633
3.81,-0.003973643,0.0635
3.82,-0.00445048,0.06366666
3.83,-0.00500679,0.0638
3.84,-0.005801519,0.06396667
3.85,-0.006198883,0.0641
3.86,-0.005165736,0.06426667
3.87,-0.003417333,0.06443334
3.88,-0.002304713,0.0646
3.89,-0.002702077,0.0648
3.9,-0.003814697,0.06496666
3.91,-0.00445048,0.0651
3.92,-0.004609426,0.0653
3.93,-0.005245209,0.06546666
3.94,-0.006357829,0.06563333
3.95,-0.006516775,0.0658
3.96,-0.005404154,0.06593333
3.97,-0.00445048,0.06613334
3.98,-0.004609426,0.0663
3.99,-0.004847845,0.06643333
4,-0.004768372,0.0666
4.01,-0.004212061,0.0668
4.02,-0.003973643,0.06696667
4.03,-0.003814697,0.06713334
4.04,-0.003973643,0.0673
4.05,-0.003973643,0.06746667
4.06,-0.003814697,0.06763333
4.07,-0.003417333,0.06783333
4.08,-0.003258387,0.06796667
4.09,-0.003973643,0.06816667
4.1,-0.004847845,0.06836667
4.11,-0.005165736,0.0685
4.12,-0.005165736,0.06863333
4.13,-0.005165736,0.0688
4.14,-0.004847845,0.06896666
4.15,-0.003655751,0.06913333
4.16,-0.002622604,0.0693
4.17,-0.003099442,0.0695
4.18,-0.004609426,0.06966667
4.19,-0.004768372,0.06983333
4.2,-0.003496806,0.06996667
4.21,-0.002861023,0.07013334
4.22,-0.003814697,0.07033333
4.23,-0.004609426,0.07046667
4.24,-0.003973643,0.07063334
4.25,-0.003417333,0.0708
4.26,-0.003973643,0.07096667
4.27,-0.004371007,0.07116666
4.28,-0.003655751,0.07136667
4.29,-0.002861023,0.0715
4.3,-0.003099442,0.07166667
4.31,-0.003814697,0.0718
4.32,-0.003496806,0.072
4.33,-0.002463659,0.07216667
4.34,-0.001748403,0.07233334
4.35,-0.001748403,0.0725
4.36,-0.001351039,0.07263333
4.37,-0.0007152557,0.0728
4.38,-0.001271566,0.07296667
4.39,-0.002304713,0.07313333
4.4,-0.002304713,0.0733
4.41,-0.001271566,0.0735
4.42,-0.0008742015,0.07363334
4.43,-0.00222524,0.0738
4.44,-0.003417333,0.07396667
4.45,-0.003019969,0.07413334
4.46,-0.00166893,0.0743
4.47,-0.001351039,0.07446667
4.48,-0.001748403,0.07463334
4.49,-0.001748403,0.0748
4.5,-0.001748403,0.07496667
4.51,-0.002622604,0.07516667
4.52,-0.003973643,0.0753
4.53,-0.003973643,0.07546667
4.54,-0.002861023,0.07563333
4.55,-0.00222524,0.07583334
4.56,-0.003099442,0.07596667
4.57,-0.003655751,0.07616667
4.58,-0.003019969,0.0763
4.59,-0.002304713,0.07646666
4.6,-0.002622604,0.07663333
4.61,-0.003099442,0.07683334
4.62,-0.003258387,0.07696667
4.63,-0.003099442,0.07713334
4.64,-0.003417333,0.0773
4.65,-0.004212061,0.07746667
4.66,-0.00445048,0.07763334
4.67,-0.004212061,0.07776666
4.68,-0.003814697,0.07796667
4.69,-0.003417333,0.07813334
4.7,-0.002702077,0.0783
4.71,-0.001351039,0.07843333
4.72,-0.0007152557,0.0786
4.73,-0.00111262,0.0788
4.74,-0.001907349,0.07896667
4.75,-0.002702077,0.07913333
4.76,-0.003258387,0.07933334
4.77,-0.003417333,0.0795
4.78,-0.003655751,0.07963333
4.79,-0.003973643,0.07976667
4.8,-0.003814697,0.07993334
4.81,-0.002861023,0.0801
4.82,-0.002066294,0.0803
4.83,-0.002066294,0.08043333
4.84,-0.002702077,0.0806
4.85,-0.003099442,0.08076667
4.86,-0.003417333,0.08096667
4.87,-0.003496806,0.0811
4.88,-0.003258387,0.0813
4.89,-0.002622604,0.08146667
4.9,-0.002463659,0.08163334
4.91,-0.003099442,0.0818
4.92,-0.003417333,0.08196667
4.93,-0.002622604,0.08213334
4.94,-0.00166893,0.0823
4.95,-0.002066294,0.08246667
4.96,-0.003496806,0.08263333
4.97,-0.003814697,0.0828
4.98,-0.002304713,0.08296667
4.99,-0.001351039,0.0831
5,-0.002066294,0.08326667
5.01,-0.003099442,0.08346666
5.02,-0.002702077,0.08363333
5.03,-0.00166893,0.08376667
5.04,-0.001351039,0.08393333
5.05,-0.002066294,0.08413333
5.06,-0.002304713,0.08426667
5.07,-0.00222524,0.08443333
5.08,-0.002463659,0.0846
5.09,-0.003258387,0.0848
5.1,-0.003655751,0.08496667
5.11,-0.003099442,0.08513334
5.12,-0.002463659,0.0853
5.13,-0.002861023,0.08543333
5.14,-0.003258387,0.0856
5.15,-0.002702077,0.08576667
5.16,-0.001907349,0.08593334
5.17,-0.002304713,0.0861
5.18,-0.003258387,0.08626667
5.19,-0.003496806,0.08643334
5.2,-0.003258387,0.08663333
5.21,-0.003655751,0.0868
5.22,-0.004609426,0.08693334
5.23,-0.004768372,0.0871
5.24,-0.004212061,0.0873
5.25,-0.004212061,0.08746666
5.26,-0.004609426,0.08763333
5.27,-0.004212061,0.0878
5.28,-0.003019969,0.08793333
5.29,-0.002304713,0.0881
5.3,-0.002463659,0.08826667
5.31,-0.002702077,0.08846667
5.32,-0.003099442,0.08863334
5.33,-0.003973643,0.08876666
5.34,-0.00445048,0.08893333
5.35,-0.003655751,0.0891
5.36,-0.003417333,0.08926667
5.37,-0.004371007,0.08943333
5.38,-0.004609426,0.0896
5.39,-0.003258387,0.08976667
5.4,-0.00222524,0.08993334
5.41,-0.002702077,0.0901
5.42,-0.003417333,0.09026667
5.43,-0.002702077,0.09043334
5.44,-0.00166893,0.0906
5.45,-0.002066294,0.09076667
5.46,-0.004371007,0.09096666
5.47,-0.0055631,0.0911
5.48,-0.004609426,0.09126667
